Date,Open,High,Low,Close,Volume
2006-02-08,6.85722,6.85722,6.85722,6.85722,23001735.44427
2006-02-13,7.16574,7.16574,7.16574,7.16574,16483789.292744
2006-02-15,7.3917,7.3917,7.3917,7.3917,25489462.124554
2006-02-20,7.4535,7.4535,7.4535,7.4535,15374152.739485
2006-02-22,7.82284,7.82284,7.82284,7.82284,24659904.835634
2006-02-27,7.69944,7.69944,7.69944,7.69944,21070325.733238
2006-03-01,7.53509,7.53509,7.53509,7.53509,21872415.923798
2006-03-06,7.26829,7.26829,7.26829,7.26829,30251407.446192
2006-03-08,7.04224,7.04224,7.04224,7.04224,40738091.626336
2006-03-13,7.32999,7.32999,7.32999,7.32999,18437513.44435
2006-03-15,7.59689,7.59689,7.59689,7.59689,25202550.099969
2006-03-20,7.6585,7.6585,7.6585,7.6585,8018710.5572368
2006-03-22,8.00708,8.00708,8.00708,8.00708,27694810.995417
2006-03-27,8.41815,8.41815,8.41815,8.41815,23297527.274183
2006-03-29,8.0489,8.0489,8.0489,8.0489,19217140.768106
2006-04-03,8.25389,8.25389,8.25389,8.25389,14546347.704664
2006-04-06,9.0539,9.0539,9.0539,9.0539,31395709.769943
2006-04-10,9.42432,9.42432,9.42432,9.42432,15110507.557113
2006-04-13,8.91138,8.91138,8.91138,8.91138,14380982.331716
2006-04-19,9.48544,9.48544,9.48544,9.48544,21389498.817249
2006-04-24,8.8392,8.8392,8.8392,8.8392,42108698.597624
2006-04-26,8.88073,8.88073,8.88073,8.88073,23389337.143033
2006-05-02,9.10746,9.10746,9.10746,9.10746,18751014.37877
2006-05-04,9.35738,9.35738,9.35738,9.35738,8746243.3666503
2006-05-10,9.83179,9.83179,9.83179,9.83179,9649336.5756509
2006-05-12,9.83179,9.83179,9.83179,9.83179,9863301.2313848
2006-05-17,9.66783,9.66783,9.66783,9.66783,20436426.167675
2006-05-19,9.60574,9.60574,9.60574,9.60574,43081564.503345
2006-05-24,8.94204,8.94204,8.94204,8.94204,12685605.37068
2006-05-26,8.96271,8.96271,8.96271,8.96271,14909206.544821
2006-06-01,8.65244,8.65244,8.65244,8.65244,36576691.198131
2006-06-05,9.067,9.067,9.067,9.067,28725041.577366
2006-06-08,8.50808,8.50808,8.50808,8.50808,27803486.825333
2006-06-12,8.23857,8.23857,8.23857,8.23857,23877204.882779
2006-06-14,7.8665,7.8665,7.8665,7.8665,24700576.714732
2006-06-19,8.6116,8.6116,8.6116,8.6116,11779065.374794
2006-06-21,8.32103,8.32103,8.32103,8.32103,15178038.399325
2006-06-26,8.9012,8.9012,8.9012,8.9012,14788230.921872
2006-06-28,9.08737,9.08737,9.08737,9.08737,12913893.157561
2006-07-03,9.79202,9.79202,9.79202,9.79202,11686516.467009
2006-07-05,9.56402,9.56402,9.56402,9.56402,11895854.141185
2006-07-10,9.77067,9.77067,9.77067,9.77067,13547866.936238
2006-07-12,9.89485,9.89485,9.89485,9.89485,20733001.358244
2006-07-17,9.56402,9.56402,9.56402,9.56402,13651198.391155
2006-07-19,9.81239,9.81239,9.81239,9.81239,30090988.58349
2006-07-24,10.2063,10.2063,10.2063,10.2063,12155872.157574
2006-07-26,10.3906,10.3906,10.3906,10.3906,10374302.848179
2006-07-31,10.7651,10.7651,10.7651,10.7651,22678032.268046
2006-08-02,10.3702,10.3702,10.3702,10.3702,14677831.698514
2006-08-07,10.5371,10.5371,10.5371,10.5371,10756922.991615
2006-08-09,10.6807,10.6807,10.6807,10.6807,12889652.268217
2006-08-11,10.5575,10.5575,10.5575,10.5575,7473780.1474102
2006-08-16,11.0329,11.0329,11.0329,11.0329,24458280.171703
2006-08-18,10.4954,10.4954,10.4954,10.4954,31346988.860107
2006-08-23,10.64,10.64,10.64,10.64,10502109.169898
2006-08-25,10.6196,10.6196,10.6196,10.6196,9437795.1842611
2006-08-30,10.6264,10.6264,10.6264,10.6264,11926020.741595
2006-09-01,10.5429,10.5429,10.5429,10.5429,9659579.0162244
2006-09-06,10.8553,10.8553,10.8553,10.8553,25784727.2475
2006-09-08,10.7719,10.7719,10.7719,10.7719,15544929.485384
2006-09-13,10.9184,10.9184,10.9184,10.9184,14635058.145236
2006-09-15,10.9184,10.9184,10.9184,10.9184,5610009.5060494
2006-09-20,11.4995,11.4995,11.4995,11.4995,28855355.683921
2006-09-22,11.9361,11.9361,11.9361,11.9361,25493671.657341
2006-09-27,11.8934,11.8934,11.8934,11.8934,23276966.118445
2006-09-29,11.646,11.646,11.646,11.646,17363770.270188
2006-10-04,11.4374,11.4374,11.4374,11.4374,23109818.600006
2006-10-09,11.4792,11.4792,11.4792,11.4792,5532461.9548212
2006-10-11,11.5616,11.5616,11.5616,11.5616,18787149.981229
2006-10-16,11.4792,11.4792,11.4792,11.4792,19248680.311139
2006-10-18,11.8934,11.8934,11.8934,11.8934,30193492.356029
2006-10-23,11.5616,11.5616,11.5616,11.5616,24825963.895057
2006-10-25,11.3123,11.3123,11.3123,11.3123,38886009.550549
2006-10-31,11.2492,11.2492,11.2492,11.2492,11386229.589965
2006-11-02,11.4171,11.4171,11.4171,11.4171,16101028.968981
2006-11-07,11.6654,11.6654,11.6654,11.6654,33879530.985063
2006-11-09,11.8333,11.8333,11.8333,11.8333,22251426.423791
2006-11-14,11.9148,11.9148,11.9148,11.9148,24798507.104074
2006-11-16,11.9982,11.9982,11.9982,11.9982,21752322.612324
2006-11-21,11.8934,11.8934,11.8934,11.8934,13431389.452634
2006-11-23,12.103,12.103,12.103,12.103,33654209.661296
2006-11-28,12.0195,12.0195,12.0195,12.0195,32605622.671561
2006-11-30,12.4144,12.4144,12.4144,12.4144,27233474.444196
2006-12-04,12.5192,12.5192,12.5192,12.5192,20010752.110306
2006-12-07,12.4765,12.4765,12.4765,12.4765,14792541.466954
2006-12-11,12.8714,12.8714,12.8714,12.8714,21295461.524218
2006-12-14,13.0179,13.0179,13.0179,13.0179,12626856.413714
2006-12-18,14.9514,14.9514,14.9514,14.9514,52153013.861792
2006-12-21,15.4501,15.4501,15.4501,15.4501,19687563.272197
2006-12-27,18.674,18.674,18.674,18.674,29084936.015885
2007-01-02,19.1116,19.1116,19.1116,19.1116,20642223.257836
2007-01-04,18.154,18.154,18.154,18.154,41109431.37633
2007-01-09,16.5105,16.5105,16.5105,16.5105,51161654.46017
2007-01-11,15.3473,15.3473,15.3473,15.3473,49005778.937667
2007-01-16,16.3659,16.3659,16.3659,16.3659,22381436.462723
2007-01-18,15.9497,15.9497,15.9497,15.9497,44228860.08939
2007-01-23,15.8052,15.8052,15.8052,15.8052,23663680.352045
2007-01-25,16.0128,16.0128,16.0128,16.0128,24070840.298759
2007-01-30,15.9497,15.9497,15.9497,15.9497,25948951.593808
2007-02-01,15.6587,15.6587,15.6587,15.6587,20372700.80907
2007-02-05,15.1396,15.1396,15.1396,15.1396,33238785.259664
2007-02-08,16.0332,16.0332,16.0332,16.0332,28362967.128602
2007-02-12,16.3039,16.3039,16.3039,16.3039,25919340.561022
2007-02-15,15.8052,15.8052,15.8052,15.8052,14613718.782531
2007-02-21,16.1777,16.1777,16.1777,16.1777,9365746.6186886
2007-02-26,15.5345,15.5345,15.5345,15.5345,17181062.735355
2007-02-28,14.7428,14.7428,14.7428,14.7428,61288543.152616
2007-03-05,13.4544,13.4544,13.4544,13.4544,34691709.005541
2007-03-07,14.2248,14.2248,14.2248,14.2248,34838985.962505
2007-03-12,14.869,14.869,14.869,14.869,31241135.190027
2007-03-14,14.4324,14.4324,14.4324,14.4324,31747197.51174
2007-03-19,14.7031,14.7031,14.7031,14.7031,11421335.485456
2007-03-21,14.7846,14.7846,14.7846,14.7846,14956591.618591
2007-03-26,15.5122,15.5122,15.5122,15.5122,13275839.79485
2007-03-28,15.7004,15.7004,15.7004,15.7004,18694676.317296
2007-03-30,15.9284,15.9284,15.9284,15.9284,18935545.288603
2007-04-04,16.3039,16.3039,16.3039,16.3039,30043353.040458
2007-04-11,16.7608,16.7608,16.7608,16.7608,27557899.136813
2007-04-16,18.5081,18.5081,18.5081,18.5081,28138052.946229
2007-04-18,18.0288,18.0288,18.0288,18.0288,23087643.309022
2007-04-23,17.7591,17.7591,17.7591,17.7591,19834989.686128
2007-04-25,17.6553,17.6553,17.6553,17.6553,14851910.928019
2007-04-30,17.405,17.405,17.405,17.405,19146626.970977
2007-05-03,17.7388,17.7388,17.7388,17.7388,12087748.641182
2007-05-08,18.3344,18.3344,18.3344,18.3344,15022688.704655
2007-05-10,19.128,19.128,19.128,19.128,26083126.843806
2007-05-15,19.5869,19.5869,19.5869,19.5869,35082650.294468
2007-05-17,19.3997,19.3997,19.3997,19.3997,31325409.335518
2007-05-22,19.2745,19.2745,19.2745,19.2745,12175223.227246
2007-05-25,18.9602,18.9602,18.9602,18.9602,40879931.441908
2007-05-30,18.2481,18.2481,18.2481,18.2481,39969771.495202
2007-06-01,19.6713,19.6713,19.6713,19.6713,74262218.066324
2007-06-05,19.8799,19.8799,19.8799,19.8799,30056613.481032
2007-06-08,19.1484,19.1484,19.1484,19.1484,28463468.177781
2007-06-12,19.3163,19.3163,19.3163,19.3163,18221200.768124
2007-06-15,20.3185,20.3185,20.3185,20.3185,30269876.204388
2007-06-20,21.5942,21.5942,21.5942,21.5942,39289509.347673
2007-06-25,23.8732,23.8732,23.8732,23.8732,36151133.614122
2007-06-27,22.4102,22.4102,22.4102,22.4102,49528329.970445
2007-07-03,23.4764,23.4764,23.4764,23.4764,24357668.83359
2007-07-05,23.0786,23.0786,23.0786,23.0786,26836784.731088
2007-07-10,24.5426,24.5426,24.5426,24.5426,31544697.751497
2007-07-12,25.6292,25.6292,25.6292,25.6292,32624800.577298
2007-07-17,25.9232,25.9232,25.9232,25.9232,24372112.561049
2007-07-19,25.5041,25.5041,25.5041,25.5041,24901519.030302
2007-07-24,27.4696,27.4696,27.4696,27.4696,43918847.171363
2007-07-26,27.719,27.719,27.719,27.719,39402609.103819
2007-07-31,28.4301,28.4301,28.4301,28.4301,35907028.126421
2007-08-02,26.6964,26.6964,26.6964,26.6964,32459871.206399
2007-08-06,25.9232,25.9232,25.9232,25.9232,34415213.616201
2007-08-09,26.7585,26.7585,26.7585,26.7585,42428911.695979
2007-08-13,26.0056,26.0056,26.0056,26.0056,24924971.405302
2007-08-16,24.7512,24.7512,24.7512,24.7512,72399700.802012
2007-08-20,26.4859,26.4859,26.4859,26.4859,59233942.763308
2007-08-23,29.6011,29.6011,29.6011,29.6011,52035414.935565
2007-08-27,33.1966,33.1966,33.1966,33.1966,50888318.281897
2007-08-30,33.283,33.283,33.283,33.283,31869705.841656
2007-09-03,33.4935,33.4935,33.4935,33.4935,24920826.80899
2007-09-06,33.4935,33.4935,33.4935,33.4935,36491182.22887
2007-09-10,33.9116,33.9116,33.9116,33.9116,35315036.294464
2007-09-13,34.1202,34.1202,34.1202,34.1202,12367373.350193
2007-09-17,36.7416,36.7416,36.7416,36.7416,30281239.056847
2007-09-20,40.7446,40.7446,40.7446,40.7446,30911210.481017
2007-09-24,42.002,42.002,42.002,42.002,27614873.163451
2007-09-27,45.5664,45.5664,45.5664,45.5664,42651579.900893
2007-10-03,46.2775,46.2775,46.2775,46.2775,64504998.298052
2007-10-05,46.068,46.068,46.068,46.068,42782673.245153
2007-10-10,46.654,46.654,46.654,46.654,38094568.941956
2007-10-12,45.9011,45.9011,45.9011,45.9011,35118931.230943
2007-10-17,46.5288,46.5288,46.5288,46.5288,28172252.823278
2007-10-22,43.1759,43.1759,43.1759,43.1759,58554368.117828
2007-10-25,45.481,45.481,45.481,45.481,42231936.689835
2007-10-29,45.189,45.189,45.189,45.189,35400146.368233
2007-11-01,45.0202,45.0202,45.0202,45.0202,29946793.532263
2007-11-05,42.0437,42.0437,42.0437,42.0437,35587624.157164
2007-11-08,40.4516,40.4516,40.4516,40.4516,50316805.146661
2007-11-12,36.7213,36.7213,36.7213,36.7213,68405584.980361
2007-11-15,39.822,39.822,39.822,39.822,24246672.8131
2007-11-19,36.6155,36.6155,36.6155,36.6155,40319892.478803
2007-11-22,33.7661,33.7661,33.7661,33.7661,85276421.434983
2007-11-26,33.9757,33.9757,33.9757,33.9757,56170393.433444
2007-11-28,32.696,32.696,32.696,32.696,36441785.1551
2007-12-03,36.4904,36.4904,36.4904,36.4904,36845841.550585
2007-12-05,37.5595,37.5595,37.5595,37.5595,34094435.673584
2007-12-10,37.3063,37.3063,37.3063,37.3063,31986135.911326
2007-12-12,36.8668,36.8668,36.8668,36.8668,33223063.417452
2007-12-17,33.283,33.283,33.283,33.283,43311395.30457
2007-12-19,33.576,33.576,33.576,33.576,23767974.515978
2007-12-24,35.3582,35.3582,35.3582,35.3582,17780725.317312
2007-12-28,34.7722,34.7722,34.7722,34.7722,15500975.737434
2008-01-03,33.576,33.576,33.576,33.576,24258197.491379
2008-01-07,32.99,32.99,32.99,32.99,30058411.087589
2008-01-10,33.053,33.053,33.053,33.053,23084296.503694
2008-01-14,32.0673,32.0673,32.0673,32.0673,24708361.876617
2008-01-17,30.3491,30.3491,30.3491,30.3491,48012269.417193
2008-01-21,28.5271,28.5271,28.5271,28.5271,48486924.130299
2008-01-24,26.221,26.221,26.221,26.221,70846819.205728
2008-01-28,26.6178,26.6178,26.6178,26.6178,47558296.456135
2008-01-30,24.0614,24.0614,24.0614,24.0614,74262196.420832
2008-02-04,26.1153,26.1153,26.1153,26.1153,69710461.808207
2008-02-06,23.7684,23.7684,23.7684,23.7684,56321964.443687
2008-02-13,22.5518,22.5518,22.5518,22.5518,40436619.400932
2008-02-15,24.6901,24.6901,24.6901,24.6901,36034398.446091
2008-02-20,24.5436,24.5436,24.5436,24.5436,40700146.048468
2008-02-22,23.7684,23.7684,23.7684,23.7684,23191461.272135
2008-02-27,25.4022,25.4022,25.4022,25.4022,84212306.381723
2008-02-29,25.4856,25.4856,25.4856,25.4856,28527902.683927
2008-03-05,23.6413,23.6413,23.6413,23.6413,31185266.114209
2008-03-07,24.2069,24.2069,24.2069,24.2069,40621358.519781
2008-03-12,25.4235,25.4235,25.4235,25.4235,55092484.017479
2008-03-14,24.1439,24.1439,24.1439,24.1439,33525254.067036
2008-03-19,22.2811,22.2811,22.2811,22.2811,62532167.361611
2008-03-25,22.3626,22.3626,22.3626,22.3626,69008158.365596
2008-03-27,22.0696,22.0696,22.0696,22.0696,33125984.417453
2008-04-01,23.3056,23.3056,23.3056,23.3056,35005679.956355
2008-04-03,26.4286,26.4286,26.4286,26.4286,77686004.039624
2008-04-09,26.4083,26.4083,26.4083,26.4083,43516675.99514
2008-04-11,27.6161,27.6161,27.6161,27.6161,29277112.938012
2008-04-16,25.5662,25.5662,25.5662,25.5662,27133387.751574
2008-04-18,25.3547,25.3547,25.3547,25.3547,72454195.90447
2008-04-23,27.9344,27.9344,27.9344,27.9344,80278924.717858
2008-04-25,30.3666,30.3666,30.3666,30.3666,49501479.253232
2008-04-30,31.2747,31.2747,31.2747,31.2747,67892578.57873
2008-05-05,32.2691,32.2691,32.2691,32.2691,31428485.167483
2008-05-08,29.3925,29.3925,29.3925,29.3925,54931152.951908
2008-05-13,29.964,29.964,29.964,29.964,40592216.47265
2008-05-16,29.8379,29.8379,29.8379,29.8379,23389205.208607
2008-05-20,29.3731,29.3731,29.3731,29.3731,26799639.005679
2008-05-23,27.5327,27.5327,27.5327,27.5327,26893205.251579
2008-05-27,26.9186,26.9186,26.9186,26.9186,18049114.98534
2008-05-29,27.7219,27.7219,27.7219,27.7219,23201214.112299
2008-06-03,27.7015,27.7015,27.7015,27.7015,25454686.065128
2008-06-05,26.8332,26.8332,26.8332,26.8332,19203593.782451
2008-06-11,25.5865,25.5865,25.5865,25.5865,23582902.46885
2008-06-13,24.3175,24.3175,24.3175,24.3175,31405038.97691
2008-06-18,25.9038,25.9038,25.9038,25.9038,29787154.938003
2008-06-20,24.889,24.889,24.889,24.889,26416695.210603
2008-06-25,24.53,24.53,24.53,24.53,19019791.604175
2008-06-27,24.5921,24.5921,24.5921,24.5921,40348678.921425
2008-07-03,20.6803,20.6803,20.6803,20.6803,97737352.785175
2008-07-07,21.9076,21.9076,21.9076,21.9076,32962847.499423
2008-07-10,21.569,21.569,21.569,21.569,44925867.601673
2008-07-14,22.0124,22.0124,22.0124,22.0124,17437036.13699
2008-07-17,21.0616,21.0616,21.0616,21.0616,31095818.696177
2008-07-21,22.7536,22.7536,22.7536,22.7536,44861850.544297
2008-07-24,24.0216,24.0216,24.0216,24.0216,45131981.128309
2008-07-28,22.7953,22.7953,22.7953,22.7953,25843128.845859
2008-07-30,22.7313,22.7313,22.7313,22.7313,28205877.548687
